Date,Returns
2008-06-24 00:00:00+00:00,0.000519639
2008-06-25 00:00:00+00:00,0.023896272
2008-06-26 00:00:00+00:00,-0.051468551
2008-06-27 00:00:00+00:00,0.010876041
2008-06-30 00:00:00+00:00,-0.015580207
2008-07-01 00:00:00+00:00,0.04323948
2008-07-02 00:00:00+00:00,-0.037210854
2008-07-03 00:00:00+00:00,0.011535292
2008-07-07 00:00:00+00:00,0.029626202
2008-07-08 00:00:00+00:00,0.025062776
2008-07-09 00:00:00+00:00,-0.029518128
2008-07-10 00:00:00+00:00,0.013658356
2008-07-11 00:00:00+00:00,-0.022929023
2008-07-14 00:00:00+00:00,0.007532708
2008-07-15 00:00:00+00:00,-0.024385064
2008-07-16 00:00:00+00:00,0.018686882
2008-07-17 00:00:00+00:00,-0.005786955
2008-07-18 00:00:00+00:00,-0.038763448
2008-07-21 00:00:00+00:00,0.006903058
2008-07-22 00:00:00+00:00,-0.025678347
2008-07-23 00:00:00+00:00,0.026169296
2008-07-24 00:00:00+00:00,-0.043485823
2008-07-25 00:00:00+00:00,0.019430204
2008-07-28 00:00:00+00:00,-0.047618718
2008-07-29 00:00:00+00:00,0.017357095
2008-07-30 00:00:00+00:00,0.017825651
2008-07-31 00:00:00+00:00,-0.005816602
2008-08-01 00:00:00+00:00,-0.014407464
2008-08-04 00:00:00+00:00,-0.021894426
2008-08-05 00:00:00+00:00,0.048358716
2008-08-06 00:00:00+00:00,0.022099214
2008-08-07 00:00:00+00:00,-0.003776329
2008-08-08 00:00:00+00:00,0.03655919
2008-08-11 00:00:00+00:00,0.023651051
2008-08-12 00:00:00+00:00,0.018264724
2008-08-13 00:00:00+00:00,0.014541485
2008-08-14 00:00:00+00:00,0.000111933
2008-08-15 00:00:00+00:00,-0.019964283
2008-08-18 00:00:00+00:00,-0.001991841
2008-08-19 00:00:00+00:00,-0.010605006
2008-08-20 00:00:00+00:00,0.013311788
2008-08-21 00:00:00+00:00,-0.008814979
2008-08-22 00:00:00+00:00,0.014344404
2008-08-25 00:00:00+00:00,-0.023983411
2008-08-26 00:00:00+00:00,0.006316875
2008-08-27 00:00:00+00:00,0.005931754
2008-08-28 00:00:00+00:00,-0.005324542
2008-08-29 00:00:00+00:00,-0.024231454
2008-09-02 00:00:00+00:00,-0.019701251
2008-09-03 00:00:00+00:00,0.004632985
2008-09-04 00:00:00+00:00,-0.034379443
2008-09-05 00:00:00+00:00,-0.006450966
2008-09-08 00:00:00+00:00,-0.014108702
2008-09-09 00:00:00+00:00,-0.039514003
2008-09-10 00:00:00+00:00,-0.000460912
2008-09-11 00:00:00+00:00,0.006859343
2008-09-12 00:00:00+00:00,-0.024303891
2008-09-15 00:00:00+00:00,-0.057607247
2008-09-16 00:00:00+00:00,-0.003419607
2008-09-17 00:00:00+00:00,-0.086145496
2008-09-18 00:00:00+00:00,0.048971754
2008-09-19 00:00:00+00:00,0.050860964
2008-09-22 00:00:00+00:00,-0.06997356
2008-09-23 00:00:00+00:00,-0.032124739
2008-09-24 00:00:00+00:00,0.01474247
2008-09-25 00:00:00+00:00,0.025017127
2008-09-26 00:00:00+00:00,-0.027968836
2008-09-29 00:00:00+00:00,-0.179195348
2008-09-30 00:00:00+00:00,0.07980238
2008-10-01 00:00:00+00:00,-0.039944064
2008-10-02 00:00:00+00:00,-0.082661056
2008-10-03 00:00:00+00:00,-0.03026971
2008-10-06 00:00:00+00:00,0.011022996
2008-10-07 00:00:00+00:00,-0.091502004
2008-10-08 00:00:00+00:00,0.007065851
2008-10-09 00:00:00+00:00,-0.01169391
2008-10-10 00:00:00+00:00,0.090827013
2008-10-13 00:00:00+00:00,0.139049773
2008-10-14 00:00:00+00:00,-0.056049213
2008-10-15 00:00:00+00:00,-0.058897016
2008-10-16 00:00:00+00:00,0.040224658
2008-10-17 00:00:00+00:00,-0.044067393
2008-10-20 00:00:00+00:00,0.010677872
2008-10-21 00:00:00+00:00,-0.070601186
2008-10-22 00:00:00+00:00,0.058804016
2008-10-23 00:00:00+00:00,0.014039004
2008-10-24 00:00:00+00:00,-0.018833124
2008-10-27 00:00:00+00:00,-0.044510947
2008-10-28 00:00:00+00:00,0.084916736
2008-10-29 00:00:00+00:00,0.046441822
2008-10-30 00:00:00+00:00,0.062075212
2008-10-31 00:00:00+00:00,-0.031069701
2008-11-03 00:00:00+00:00,-0.005855555
2008-11-04 00:00:00+00:00,0.037677656
2008-11-05 00:00:00+00:00,-0.069285513
2008-11-06 00:00:00+00:00,-0.040658274
2008-11-07 00:00:00+00:00,-0.008678181
2008-11-10 00:00:00+00:00,-0.024022502
