Date,Log Return
2016/10/28,-0.00666077
2016/10/31,-0.001584233
2016/11/1,-0.018220282
2016/11/2,0.000896465
2016/11/3,-0.010776592
2016/11/4,-0.009054907
2016/11/7,0.014321969
2016/11/8,0.00586992
2016/11/9,-0.001622376
2016/11/10,-0.028263778
2016/11/11,0.00592027
2016/11/14,-0.025405258
2016/11/15,0.013156759
2016/11/16,0.026533112
2016/11/17,-0.000363898
2016/11/18,0.001000157
2016/11/21,0.015059812
2016/11/22,0.00062606
2016/11/23,-0.005111293
2016/11/25,0.005022006
2016/11/28,-0.001970167
2016/11/29,-0.000986172
2016/11/30,-0.008469461
2016/12/1,-0.009363321
2016/12/2,0.0037379
2016/12/5,-0.007214354
2016/12/6,0.007668832
2016/12/7,0.00977498
2016/12/8,0.009769313
2016/12/9,0.016189804
2016/12/12,-0.005720404
2016/12/13,0.016543959
2016/12/14,0
2016/12/15,0.005453887
2016/12/16,0.001294409
2016/12/19,0.005761017
2016/12/20,0.002654051
2016/12/21,0.00094011
2016/12/22,-0.006599975
2016/12/23,0.001976371
2016/12/27,0.0063308
2016/12/28,-0.004273257
2016/12/29,-0.000256926
2016/12/30,-0.007826601
2017/1/3,0.00284542
2017/1/4,-0.00111989
2017/1/5,0.005072423
2017/1/6,0.011086583
2017/1/9,0.00911787
2017/1/10,0.001007945
2017/1/11,0.005358709
2017/1/12,-0.004184148
2017/1/13,-0.001762395
2017/1/17,0.008032309
2017/1/18,-8.33E-05
2017/1/19,-0.001751516
2017/1/20,0.001834838
2017/1/23,0.000666399
2017/1/24,-0.000916593
2017/1/25,0.015795056
2017/1/26,0.00049242
2017/1/27,8.21E-05
2017/1/30,-0.002627633
2017/1/31,-0.002304729
2017/2/1,0.059193793
2017/2/2,-0.001710226
2017/2/3,0.00426987
2017/2/6,0.009330482
2017/2/7,0.00947205
2017/2/8,0.003869968
2017/2/9,0.007200353
2017/2/10,-0.002268627
2017/2/13,0.008816681
2017/2/14,0.012895985
2017/2/15,0.0036225
2017/2/16,-0.001181263
2017/2/17,0.002729643
2017/2/21,0.00719494
2017/2/22,0.002994926
2017/2/23,-0.004239412
2017/2/24,0.000951707
2017/2/27,0.001973764
2017/2/28,0.000438092
2017/3/1,0.020233569
2017/3/2,-0.005955788
2017/3/3,0.005884043
2017/3/6,-0.003152828
2017/3/7,0.001290936
2017/3/8,-0.003733509
2017/3/9,-0.002305446
2017/3/10,0.00331174
2017/3/13,0.000431548
2017/3/14,-0.00151023
2017/3/15,0.010520757
2017/3/16,0.001636198
2017/3/17,-0.004987465
2017/3/20,0.010445526
2017/3/21,-0.011518241
2017/3/22,0.01123543
2017/3/23,-0.003541958
2017/3/24,-0.001988841
2017/3/27,0.001705179
2017/3/28,0.02051468
2017/3/29,0.002223111
2017/3/30,-0.001319497
2017/3/31,-0.001877282
2017/4/3,0.000278516
2017/4/4,0.00741831
2017/4/5,-0.005193996
2017/4/6,-0.002502829
2017/4/7,-0.002230122
2017/4/10,-0.001186804
2017/4/11,-0.010814398
2017/4/12,0.001199353
2017/4/13,-0.00530319
2017/4/17,0.005514882
2017/4/18,-0.004451945
2017/4/19,-0.003689587
2017/4/20,0.0124334
2017/4/21,-0.001194306
2017/4/24,0.009583089
2017/4/25,0.006177132
2017/4/26,-0.005898692
2017/4/27,0.000765113
2017/4/28,-0.000973736
2017/5/1,0.020191808
2017/5/2,0.00632415
2017/5/3,-0.003055111
2017/5/4,-0.003610634
2017/5/5,0.016447968
2017/5/8,0.02682508
2017/5/9,0.006384562
2017/5/10,-0.004751797
2017/5/11,0.008611187
2017/5/12,0.013868659
2017/5/15,-0.002565614
2017/5/16,-0.001478038
2017/5/17,-0.034152179
2017/5/18,0.01512613
2017/5/19,0.003403318
2017/5/22,0.006057618
2017/5/23,-0.001234991
2017/5/24,-0.002995291
2017/5/25,0.003450398
2017/5/26,-0.001691094
2017/5/30,0.000390466
2017/5/31,-0.005938967
2017/6/1,0.002745232
2017/6/2,0.014710974
2017/6/5,-0.00982638
2017/6/6,0.003372108
2017/6/7,0.005938881
2017/6/8,-0.002448584
2017/6/9,-0.039548521
2017/6/12,-0.024185898
2017/6/13,0.008013623
2017/6/14,-0.009803071
2017/6/15,-0.006011545
2017/6/16,-0.014098393
2017/6/19,0.028205773
2017/6/20,-0.009129785
2017/6/21,0.005913207
2017/6/22,-0.00164686
2017/6/23,0.004453522
2017/6/26,-0.003149628
2017/6/27,-0.014436529
2017/6/28,0.014505243
2017/6/29,-0.014853316
2017/6/30,0.002363717
2017/7/3,-0.003616874
2017/7/5,0.004102878
2017/7/6,-0.009483144
2017/7/7,0.010107466
2017/7/10,0.006085085
2017/7/11,0.003234959
2017/7/12,0.001441972
2017/7/13,0.013832827
2017/7/14,0.008557366
2017/7/17,0.003482883
2017/7/18,0.003471447
2017/7/19,0.006243338
2017/7/20,-0.004512938
2017/7/21,-0.000465361
2017/7/24,0.012038361
2017/7/25,0.004264762
2017/7/26,0.004702868
2017/7/27,-0.019078314
2017/7/28,-0.007065254
2017/7/31,-0.005163887
2017/8/1,0.008836104
2017/8/2,0.046168253
2017/8/3,-0.010040931
2017/8/4,0.005256981
2017/8/7,0.015355399
2017/8/8,0.007965461
2017/8/9,0.006103153
2017/8/10,-0.032370148
2017/8/11,0.013810825
2017/8/14,0.014937741
2017/8/15,0.010887804
2017/8/16,-0.004030225
2017/8/17,-0.019385141
2017/8/18,-0.002282911
2017/8/21,-0.001842993
2017/8/22,0.016215678
2017/8/23,0.001250606
