Date,Close/Last,Volume,Open,High,Low
12/12/2024,$532.41,1860815,$536.29,$536.75,$531.97
12/11/2024,$534.45,2181241,$529.19,$535.89,$527.2701
12/10/2024,$529.01,2003265,$522.51,$529.66,$520.2201
12/09/2024,$522.82,2942047,$529.02,$531.59,$521.875
12/06/2024,$528.57,2122791,$522.93,$531.00,$522.50
12/05/2024,$524.77,2538695,$524.60,$527.47,$522.17
12/04/2024,$521.14,2630030,$523.64,$526.275,$518.17
12/03/2024,$526.18,2319746,$534.67,$534.82,$525.96
12/02/2024,$531.36,2355191,$532.93,$534.82,$526.23
11/29/2024,$532.94,1760566,$533.01,$535.7699,$530.025
11/27/2024,$532.38,2086434,$529.05,$533.62,$526.58
11/26/2024,$528.48,2326797,$527.90,$530.6499,$525.06
11/25/2024,$526.60,4503914,$521.64,$528.25,$521.02
11/22/2024,$520.86,3130470,$516.93,$521.705,$516.18
11/21/2024,$515.10,3077464,$513.23,$520.12,$511.58
11/20/2024,$512.54,2409527,$521.53,$522.50,$511.00
11/19/2024,$519.46,2716216,$518.78,$522.65,$516.756
11/18/2024,$521.63,2493483,$518.59,$523.49,$517.00
11/15/2024,$521.89,2408193,$518.525,$523.39,$518.00
11/14/2024,$520.40,2480583,$520.62,$522.36,$517.65
11/13/2024,$521.88,2681881,$530.01,$530.50,$516.415
11/12/2024,$529.17,2577628,$529.10,$530.90,$527.30
11/11/2024,$530.12,2213822,$528.85,$534.025,$528.515
11/08/2024,$524.76,2215681,$520.34,$528.84,$519.53
11/07/2024,$517.88,2382508,$523.99,$524.03,$516.5901
11/06/2024,$521.13,3674066,$520.86,$523.00,$515.94
11/05/2024,$505.56,2132859,$505.58,$508.15,$503.61
11/04/2024,$505.58,2165122,$509.14,$510.00,$503.03
11/01/2024,$508.08,3753713,$500.44,$510.55,$498.53
10/31/2024,$499.59,5523340,$521.25,$527.8999,$499.03
10/30/2024,$513.69,3120968,$512.52,$516.45,$507.00
10/29/2024,$506.28,2066616,$507.54,$511.39,$505.70
10/28/2024,$508.21,2186574,$507.40,$510.8599,$506.14
10/25/2024,$507.36,1582222,$512.50,$514.73,$505.62
10/24/2024,$510.62,1912122,$511.90,$513.34,$509.46
10/23/2024,$513.73,1759887,$512.66,$514.7199,$511.90
10/22/2024,$513.02,1855981,$511.15,$514.55,$510.50
10/21/2024,$515.01,2217572,$516.99,$518.82,$513.9401
10/18/2024,$516.34,2604684,$514.54,$518.00,$512.58
10/17/2024,$513.76,2227465,$516.29,$517.045,$511.52
10/16/2024,$514.07,2956878,$506.35,$515.4025,$506.00
10/15/2024,$507.23,2885897,$505.62,$509.88,$504.00
10/14/2024,$506.66,2127041,$504.36,$508.79,$502.05
10/11/2024,$502.26,1920085,$496.51,$502.92,$496.465
10/10/2024,$498.02,1491085,$500.00,$500.7234,$495.84
10/09/2024,$499.95,1707580,$498.38,$500.7499,$495.59
10/08/2024,$497.06,1750066,$492.50,$497.53,$491.53
10/07/2024,$491.30,1990708,$497.33,$498.53,$490.75
10/04/2024,$497.70,1935893,$495.56,$499.05,$492.47
10/03/2024,$494.97,1382289,$495.55,$497.0875,$493.00
10/02/2024,$495.57,1736490,$492.94,$495.91,$489.68
10/01/2024,$496.38,3748206,$497.26,$498.03,$493.11
09/30/2024,$493.80,2862475,$491.78,$494.99,$490.11
09/27/2024,$493.64,2177336,$491.03,$496.00,$490.39
09/26/2024,$491.27,3073747,$491.00,$493.625,$489.00
09/25/2024,$489.45,3483193,$484.76,$489.90,$483.54
09/24/2024,$487.41,4143654,$492.68,$493.245,$484.42
09/23/2024,$497.14,2191256,$493.16,$497.69,$491.30
09/20/2024,$492.74,3470313,$489.65,$493.53,$487.74
09/19/2024,$493.01,3517228,$500.00,$501.13,$486.25
09/18/2024,$494.76,2193838,$501.28,$501.80,$494.04
09/17/2024,$500.99,2202852,$498.60,$501.74,$497.85
09/16/2024,$497.71,1589320,$495.30,$498.32,$493.39
09/13/2024,$493.36,2204789,$493.10,$496.85,$491.45
09/12/2024,$492.11,2299485,$486.95,$492.88,$483.00
09/11/2024,$488.18,2479988,$486.52,$489.11,$477.84
09/10/2024,$488.02,2234088,$487.10,$488.33,$482.33
09/09/2024,$487.09,2343553,$480.50,$489.21,$479.565
09/06/2024,$476.12,2116234,$477.11,$480.44,$474.71
09/05/2024,$477.36,2293539,$483.14,$484.16,$473.1101
09/04/2024,$483.14,2156342,$482.09,$486.17,$481.18
09/03/2024,$482.12,2063707,$482.47,$486.69,$480.04
08/30/2024,$483.34,2982115,$481.84,$485.74,$479.65
08/29/2024,$480.80,1893601,$474.47,$481.92,$474.47
08/28/2024,$471.80,1445425,$475.00,$476.41,$468.865
08/27/2024,$474.99,1635908,$471.08,$475.50,$468.22
08/26/2024,$468.64,1434397,$468.10,$470.53,$467.00
08/23/2024,$466.44,1986348,$470.30,$470.34,$461.90
08/22/2024,$468.82,1538288,$469.49,$470.91,$466.70
08/21/2024,$468.00,2105889,$468.54,$469.09,$464.52
08/20/2024,$469.12,1763383,$468.13,$469.67,$465.51
08/19/2024,$466.98,1690880,$469.00,$470.15,$465.52
08/16/2024,$468.88,1922047,$468.00,$470.26,$466.04
08/15/2024,$468.71,2130571,$465.10,$469.00,$464.00
08/14/2024,$460.16,1654140,$459.26,$460.54,$456.07
08/13/2024,$459.36,1816206,$458.14,$459.64,$454.89
08/12/2024,$455.69,1760046,$457.77,$458.46,$453.89
08/09/2024,$456.78,1760295,$455.58,$458.80,$453.46
08/08/2024,$455.58,1585584,$452.24,$456.27,$451.03
08/07/2024,$449.84,2059829,$450.53,$456.92,$449.04
08/06/2024,$448.30,2759051,$443.22,$455.45,$442.11
08/05/2024,$442.00,4496726,$455.00,$461.295,$439.5901
08/02/2024,$462.02,3808080,$460.22,$466.75,$458.61
08/01/2024,$462.41,2590132,$465.46,$467.50,$459.19
07/31/2024,$463.71,4313637,$462.00,$474.00,$457.54
07/30/2024,$447.45,2266899,$443.77,$448.73,$443.01
07/29/2024,$441.30,2248633,$438.80,$442.92,$435.42
07/26/2024,$438.18,2039595,$432.28,$440.7825,$432.11
07/25/2024,$429.60,2384325,$433.94,$437.7022,$429.56
07/24/2024,$432.45,3764823,$434.00,$435.86,$428.86
07/23/2024,$441.72,2385481,$448.05,$448.74,$441.11
07/22/2024,$447.94,2111943,$445.41,$448.85,$443.25
07/19/2024,$443.69,2121736,$451.22,$451.24,$443.57
07/18/2024,$448.72,3339984,$448.75,$455.43,$447.48
07/17/2024,$451.16,2924993,$442.40,$451.52,$442.06
07/16/2024,$443.53,2846645,$446.94,$447.1584,$439.70
07/15/2024,$444.00,1727716,$440.33,$444.40,$438.74
07/12/2024,$440.11,2645729,$437.40,$442.23,$437.32
07/11/2024,$436.42,4032726,$432.00,$437.77,$430.1101
07/10/2024,$433.64,4760902,$434.61,$437.41,$429.05
07/09/2024,$444.70,1608726,$446.65,$447.58,$442.79
07/08/2024,$446.24,1802729,$449.28,$450.61,$445.00
07/05/2024,$449.49,2220706,$447.11,$449.95,$444.275
07/03/2024,$448.18,3192350,$445.32,$449.285,$444.275
07/02/2024,$444.65,2061407,$435.00,$444.76,$435.00
07/01/2024,$437.61,3149663,$440.80,$442.465,$435.55
06/28/2024,$441.16,4105179,$444.64,$448.30,$438.72
06/27/2024,$442.75,3313924,$448.57,$448.70,$442.00
06/26/2024,$452.38,2451388,$452.75,$454.6771,$451.39
06/25/2024,$455.65,2529625,$458.48,$460.305,$453.795
06/24/2024,$456.96,2597068,$454.93,$463.07,$454.93
06/21/2024,$454.85,5062383,$452.19,$455.30,$450.26
06/20/2024,$452.51,3006765,$451.06,$454.4808,$448.36
06/18/2024,$450.11,2636506,$447.06,$451.20,$446.70
06/17/2024,$448.11,2351895,$442.43,$449.34,$441.68
06/14/2024,$444.63,2161546,$443.34,$444.9588,$441.20
06/13/2024,$445.00,2916648,$443.00,$445.15,$439.32
06/12/2024,$443.00,2738928,$451.49,$452.50,$441.60
06/11/2024,$449.04,1777281,$447.84,$449.25,$445.11
06/10/2024,$449.25,1954548,$448.42,$450.17,$444.37
06/07/2024,$449.79,1664850,$449.45,$453.00,$447.26
06/06/2024,$448.68,1887061,$448.49,$449.78,$444.63
06/05/2024,$446.66,2157011,$446.80,$447.565,$442.305
06/04/2024,$444.77,2096578,$443.36,$444.88,$441.32
06/03/2024,$443.19,2123775,$443.48,$445.00,$437.885
05/31/2024,$447.07,3917303,$442.69,$447.34,$439.255
05/30/2024,$442.10,2189905,$442.21,$444.19,$440.67
05/29/2024,$442.47,1876996,$442.11,$444.555,$441.80
05/28/2024,$445.08,2670989,$450.00,$450.625,$442.395
05/24/2024,$451.18,2162182,$452.51,$454.45,$450.32
05/23/2024,$451.21,2084733,$456.52,$458.05,$450.44
05/22/2024,$456.52,1713650,$458.90,$462.50,$455.165
05/21/2024,$459.10,2165999,$457.91,$460.3899,$455.63
05/20/2024,$459.66,1397291,$459.48,$462.22,$458.78
05/17/2024,$460.27,1985903,$460.45,$461.685,$458.11
05/16/2024,$458.87,2412233,$460.00,$464.93,$458.82
05/15/2024,$458.00,2437772,$452.79,$458.60,$452.79
05/14/2024,$454.20,2990997,$457.92,$458.98,$449.30
05/13/2024,$457.76,2069345,$456.93,$458.72,$455.505
05/10/2024,$456.98,1730054,$457.33,$458.58,$454.98
05/09/2024,$455.49,1970193,$453.55,$456.025,$453.55
05/08/2024,$454.77,2332440,$454.00,$455.11,$449.915
05/07/2024,$453.06,2345486,$451.76,$453.30,$447.525
05/06/2024,$449.37,2536211,$447.23,$450.4999,$445.56
05/03/2024,$443.58,3711610,$444.91,$445.26,$436.90
05/02/2024,$441.10,3866467,$443.00,$444.655,$438.05
05/01/2024,$442.07,4979366,$445.80,$448.98,$438.38
04/30/2024,$451.20,2698813,$456.26,$457.72,$450.88
04/29/2024,$457.10,2121464,$460.95,$461.59,$455.6829
04/26/2024,$462.42,1963273,$462.91,$464.82,$460.94
04/25/2024,$462.11,2006668,$460.94,$464.00,$456.72
04/24/2024,$462.50,4043134,$465.29,$468.15,$460.35
04/23/2024,$462.82,2029056,$458.48,$462.98,$457.31
04/22/2024,$456.75,2157434,$457.50,$460.74,$455.13
04/19/2024,$455.39,2548844,$458.89,$459.86,$452.585
04/18/2024,$454.70,1998880,$460.50,$461.91,$453.80
04/17/2024,$460.16,1735073,$462.77,$463.41,$458.15
04/16/2024,$459.82,1787264,$460.00,$463.38,$459.00
04/15/2024,$459.79,2070679,$470.24,$471.00,$458.43
04/12/2024,$465.38,2486361,$466.00,$469.52,$462.11
04/11/2024,$468.31,2299867,$468.28,$470.3482,$464.19
04/10/2024,$469.17,2710709,$470.17,$474.385,$468.85
04/09/2024,$472.16,2218019,$477.97,$478.89,$467.83
04/08/2024,$478.85,1961897,$476.40,$479.68,$474.28
04/05/2024,$477.15,2462740,$474.00,$479.31,$472.53
04/04/2024,$469.77,2552759,$479.97,$481.96,$469.00
04/03/2024,$477.42,2265162,$480.44,$483.30,$477.21
04/02/2024,$479.43,3265212,$476.97,$480.41,$476.30
04/01/2024,$478.40,1648343,$480.66,$483.28,$477.33
03/28/2024,$481.57,2214542,$477.91,$482.43,$477.275
03/27/2024,$477.95,2309507,$480.50,$482.16,$474.75
03/26/2024,$476.80,2515051,$477.72,$480.00,$472.305
03/25/2024,$476.04,2600371,$481.60,$482.32,$474.4111
03/22/2024,$481.67,2277794,$488.31,$488.89,$481.46
03/21/2024,$488.64,2580338,$488.53,$490.00,$483.40
03/20/2024,$488.04,1691084,$484.32,$488.45,$483.64
03/19/2024,$484.00,2049644,$481.62,$484.61,$479.51
03/18/2024,$478.89,2072358,$478.64,$480.82,$476.65
03/15/2024,$475.83,4179328,$473.34,$478.46,$473.08
03/14/2024,$479.48,2757821,$481.02,$482.00,$477.1784
03/13/2024,$475.61,2103955,$474.23,$476.16,$472.78
03/12/2024,$472.87,1853933,$470.53,$474.37,$468.71
03/11/2024,$469.16,1774642,$469.00,$469.37,$464.69
03/08/2024,$469.26,1596884,$467.10,$471.62,$467.10
03/07/2024,$467.54,2178103,$473.20,$473.27,$465.89
03/06/2024,$471.60,1917151,$467.16,$473.62,$467.16
03/05/2024,$467.52,2015063,$467.37,$469.2435,$464.62
03/04/2024,$468.49,3212483,$475.67,$476.63,$465.765
03/01/2024,$476.63,1748452,$474.91,$477.50,$473.90
02/29/2024,$474.76,3072717,$478.00,$478.39,$472.05
02/28/2024,$478.85,1931986,$474.17,$479.14,$473.67
02/27/2024,$474.75,2011129,$474.55,$475.00,$469.95
02/26/2024,$474.51,2066883,$473.00,$475.075,$472.00
02/23/2024,$473.42,1764216,$473.73,$475.1672,$471.86
02/22/2024,$471.56,2572782,$461.81,$472.50,$461.58
02/21/2024,$459.05,2896527,$453.31,$459.595,$452.00
02/20/2024,$451.75,5044210,$452.80,$455.85,$450.12
02/16/2024,$468.13,2237275,$474.17,$474.17,$467.065
02/15/2024,$471.28,2354215,$465.83,$472.105,$465.23
02/14/2024,$465.19,2202784,$462.00,$465.45,$459.435
02/13/2024,$460.46,2407755,$456.76,$461.88,$456.04
02/12/2024,$458.71,1794533,$459.18,$459.40,$456.08
02/09/2024,$457.88,2155449,$458.06,$458.985,$456.37
02/08/2024,$458.26,2081511,$460.00,$460.75,$457.445
02/07/2024,$461.91,2544469,$461.21,$462.235,$459.615
02/06/2024,$460.50,2201912,$455.36,$460.56,$455.36
02/05/2024,$456.76,2438961,$459.51,$461.3674,$455.5279
02/02/2024,$460.58,2050335,$462.21,$463.84,$458.50
02/01/2024,$460.92,3292697,$455.00,$461.14,$454.045
01/31/2024,$449.23,4740634,$450.00,$462.00,$446.62
01/30/2024,$445.19,2663616,$440.90,$446.215,$440.05
01/29/2024,$440.58,2314246,$435.78,$440.96,$434.67
01/26/2024,$438.53,2725548,$432.55,$439.89,$430.67
01/25/2024,$436.80,2977825,$436.00,$438.63,$434.46
01/24/2024,$438.70,2725669,$438.53,$440.925,$435.755
01/23/2024,$438.76,2328662,$440.27,$440.60,$437.86
01/22/2024,$439.75,2715618,$438.98,$440.94,$437.26
01/19/2024,$436.78,2400409,$432.55,$437.07,$429.34
01/18/2024,$430.72,2075759,$428.64,$431.22,$427.45
01/17/2024,$427.42,2690522,$425.48,$430.3793,$425.48
01/16/2024,$428.35,2397988,$427.44,$429.73,$426.52
01/12/2024,$429.10,1892426,$429.95,$431.11,$427.70
01/11/2024,$426.72,2320769,$430.00,$431.79,$425.77
01/10/2024,$428.27,2709369,$426.00,$429.47,$424.1501
01/09/2024,$422.60,2439387,$419.10,$423.70,$418.54
01/08/2024,$421.98,2125446,$419.44,$422.08,$416.53
01/05/2024,$419.42,2416004,$420.49,$422.76,$416.99
01/04/2024,$419.77,2042551,$418.50,$423.45,$418.28
01/03/2024,$418.77,3093684,$421.20,$421.34,$417.5001
01/02/2024,$421.89,2463746,$424.09,$424.28,$419.56
12/29/2023,$426.51,1706284,$426.68,$428.35,$424.27
12/28/2023,$426.32,1505039,$423.77,$428.36,$423.68
12/27/2023,$424.36,1324203,$423.00,$425.0125,$422.96
12/26/2023,$423.67,1258302,$425.00,$425.715,$422.95
12/22/2023,$424.10,1759004,$424.75,$427.165,$422.96
12/21/2023,$423.44,2213253,$421.79,$423.90,$420.61
12/20/2023,$419.45,3058344,$425.08,$427.61,$419.24
12/19/2023,$425.47,2256348,$424.05,$426.6799,$422.52
12/18/2023,$424.43,2686978,$419.53,$425.09,$419.53
12/15/2023,$418.57,5566617,$412.62,$419.26,$411.60
12/14/2023,$418.56,3989825,$425.01,$425.85,$415.90
12/13/2023,$424.68,3694400,$421.86,$426.37,$419.145
12/12/2023,$420.75,2736706,$417.00,$421.00,$414.70
12/11/2023,$415.71,2235989,$412.46,$416.17,$412.38
12/08/2023,$412.16,1959438,$412.22,$413.67,$409.23
12/07/2023,$413.15,2363020,$412.07,$413.57,$409.99
12/06/2023,$410.38,2224303,$411.43,$413.82,$407.155
12/05/2023,$408.69,2755635,$407.09,$409.05,$404.315
12/04/2023,$408.23,3097946,$413.83,$414.85,$408.03
12/01/2023,$414.36,2171558,$412.89,$416.60,$411.57
11/30/2023,$413.83,3203556,$410.10,$414.16,$408.78
11/29/2023,$409.82,2151396,$411.01,$412.0825,$409.42
11/28/2023,$409.01,2645103,$409.08,$410.64,$407.46
11/27/2023,$408.97,2665981,$411.00,$412.72,$408.25
11/24/2023,$412.50,1053479,$412.49,$412.97,$410.53
11/22/2023,$410.33,1968107,$412.26,$412.85,$410.145
11/21/2023,$408.95,2567692,$405.72,$410.345,$405.69
